file,original,gzip,rar,xz
test_data/urandom/urandom_1000000_091.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_092.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_093.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_094.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_095.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_096.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_097.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_098.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_099.bin,125000,125062,125218,125068
test_data/urandom/urandom_100000_009.bin,12500,12546,12714,12560
test_data/urandom/urandom_1000000_100.bin,125000,125062,125218,125068
test_data/urandom/urandom_100000_010.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_011.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_012.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_013.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_014.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_015.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_016.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_017.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_018.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_019.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_020.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_021.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_022.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_023.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_024.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_025.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_026.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_027.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_028.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_029.bin,12500,12546,12714,12560
test_data/urandom/urandom_100000_030.bin,12500,12546,12714,12560
